,Unnamed: 0,Region,Municipality,Construction Materials,Total Occupied Housing Units,Roof: Galvanized iron/aluminum,Roof: Tile/concrete/clay tile,Roof: Half galvanized iron and half concrete,Roof: Bamboo/cogon/ nipa/anahaw,Roof: Asbestos,Roof:Makeshift/ salvaged/ improvised materials,Roof:Trapal,Roof: Others,Roof: Not Reported,coordinates,Latitude,Longitude,Distance,Material Categories,Elevation
0,0,PHILIPPINES,,Total,22421193.0,18002286.0,541411.0,1085559.0,2636544.0,20713.0,72416.0,42309.0,13610.0,6345.0,,,,,Total,
1,1,PHILIPPINES,,Concrete/brick/stone,11035032.0,10338819.0,462249.0,147452.0,67507.0,12566.0,2111.0,1187.0,2568.0,573.0,,,,,Concrete,
2,2,PHILIPPINES,,Wood,3909408.0,2979913.0,33244.0,157591.0,705322.0,4884.0,13693.0,10865.0,3638.0,258.0,,,,,Wood,
3,3,PHILIPPINES,,Half concrete/brick/stone and half wood,3430114.0,2562328.0,41072.0,709311.0,109100.0,1849.0,4099.0,877.0,1357.0,121.0,,,,,Mixed,
4,4,PHILIPPINES,,Galvanized iron/aluminum,226647.0,186631.0,3647.0,14513.0,20616.0,63.0,380.0,719.0,73.0,5.0,,,,,Metal,
5,5,PHILIPPINES,,Bamboo/sawali/cogon/nipa,3543338.0,1761059.0,,50839.0,1706086.0,,10053.0,11291.0,3187.0,823.0,,,,,Traditional,
6,6,PHILIPPINES,,Asbestos,11767.0,10089.0,123.0,490.0,,1041.0,,,24.0,,,,,,Makeshift/none,
7,7,PHILIPPINES,,Glass,2517.0,1646.0,473.0,360.0,,33.0,,,5.0,,,,,,Mixed,
8,8,PHILIPPINES,,Makeshift/salvaged/improvised materials,116979.0,54413.0,,1807.0,16199.0,,40495.0,3823.0,240.0,2.0,,,,,Makeshift/none,
9,9,PHILIPPINES,,Trapal,40316.0,18471.0,,,7324.0,,1307.0,13103.0,110.0,1.0,,,,,Makeshift/none,
10,10,PHILIPPINES,,Others,18124.0,13026.0,36.0,127.0,2485.0,9.0,128.0,156.0,2157.0,,,,,,Others,
11,11,PHILIPPINES,,No walls,4796.0,2950.0,118.0,192.0,959.0,3.0,133.0,274.0,167.0,,,,,,Makeshift/none,
12,12,PHILIPPINES,,Not Reported,82155.0,72941.0,449.0,2877.0,946.0,265.0,17.0,14.0,84.0,4562.0,,,,,Not reported,
13,13,NATIONAL CAPITAL REGION,REGIONAL,Total,2968651.0,2522479.0,196380.0,223553.0,5880.0,2845.0,8938.0,6100.0,2105.0,371.0,,,,,Total,
14,14,NATIONAL CAPITAL REGION,REGIONAL,Concrete/brick/stone,1996376.0,1786599.0,173355.0,33435.0,190.0,1928.0,226.0,129.0,514.0,,,,,,Concrete,
15,15,NATIONAL CAPITAL REGION,REGIONAL,Wood,327593.0,279929.0,10444.0,28260.0,3704.0,485.0,2079.0,1685.0,1005.0,2.0,,,,,Wood,
16,16,NATIONAL CAPITAL REGION,REGIONAL,Half concrete/brick/stone and half wood,611058.0,437499.0,12005.0,159641.0,462.0,340.0,721.0,134.0,256.0,,,,,,Mixed,
17,17,NATIONAL CAPITAL REGION,REGIONAL,Galvanized iron/aluminum,13269.0,10929.0,457.0,1676.0,119.0,14.0,38.0,16.0,20.0,,,,,,Metal,
18,18,NATIONAL CAPITAL REGION,REGIONAL,Bamboo/sawali/cogon/nipa,2243.0,622.0,,55.0,1323.0,,63.0,179.0,1.0,,,,,,Traditional,
19,19,NATIONAL CAPITAL REGION,REGIONAL,Asbestos,541.0,459.0,5.0,13.0,,64.0,,,,,,,,,Makeshift/none,
20,20,NATIONAL CAPITAL REGION,REGIONAL,Glass,182.0,108.0,42.0,24.0,,8.0,,,,,,,,,Mixed,
21,21,NATIONAL CAPITAL REGION,REGIONAL,Makeshift/salvaged/improvised materials,8343.0,1901.0,,141.0,33.0,,5472.0,772.0,22.0,2.0,,,,,Makeshift/none,
22,22,NATIONAL CAPITAL REGION,REGIONAL,Trapal,3658.0,398.0,,,41.0,,241.0,2971.0,7.0,,,,,,Makeshift/none,
23,23,NATIONAL CAPITAL REGION,REGIONAL,Others,471.0,248.0,10.0,6.0,1.0,,7.0,24.0,175.0,,,,,,Others,
24,24,NATIONAL CAPITAL REGION,REGIONAL,No walls,445.0,106.0,6.0,1.0,,,76.0,177.0,79.0,,,,,,Makeshift/none,
25,25,NATIONAL CAPITAL REGION,REGIONAL,Not Reported,4472.0,3681.0,56.0,301.0,7.0,6.0,15.0,13.0,26.0,367.0,,,,,Not reported,
26,26,NATIONAL CAPITAL REGION,CITY OF MANILA,Total,409987.0,345286.0,24640.0,34415.0,97.0,146.0,1858.0,3084.0,453.0,8.0,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Total,7.0
27,27,NATIONAL CAPITAL REGION,CITY OF MANILA,Concrete/brick/stone,210893.0,186250.0,21164.0,3284.0,4.0,55.0,19.0,42.0,75.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Concrete,7.0
28,28,NATIONAL CAPITAL REGION,CITY OF MANILA,Wood,63024.0,55117.0,1168.0,5510.0,66.0,62.0,222.0,682.0,197.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Wood,7.0
29,29,NATIONAL CAPITAL REGION,CITY OF MANILA,Half concrete/brick/stone and half wood,129409.0,101680.0,2239.0,25298.0,4.0,26.0,34.0,60.0,68.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Mixed,7.0
30,30,NATIONAL CAPITAL REGION,CITY OF MANILA,Galvanized iron/aluminum,1343.0,1065.0,62.0,199.0,,,9.0,6.0,2.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Metal,7.0
31,31,NATIONAL CAPITAL REGION,CITY OF MANILA,Bamboo/sawali/cogon/nipa,197.0,61.0,,1.0,10.0,,16.0,108.0,1.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Traditional,7.0
32,32,NATIONAL CAPITAL REGION,CITY OF MANILA,Asbestos,355.0,355.0,,,,,,,,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
33,33,NATIONAL CAPITAL REGION,CITY OF MANILA,Glass,25.0,25.0,,,,,,,,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Mixed,7.0
34,34,NATIONAL CAPITAL REGION,CITY OF MANILA,Makeshift/salvaged/improvised materials,2144.0,206.0,,20.0,3.0,,1391.0,512.0,12.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
35,35,NATIONAL CAPITAL REGION,CITY OF MANILA,Trapal,1749.0,84.0,,,5.0,,101.0,1555.0,4.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
36,36,NATIONAL CAPITAL REGION,CITY OF MANILA,Others,128.0,61.0,,,,,2.0,7.0,58.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Others,7.0
37,37,NATIONAL CAPITAL REGION,CITY OF MANILA,No walls,233.0,25.0,1.0,,,,63.0,108.0,36.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
